Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,9
design__inferred_latch__count,0
design__instance__count,3540
design__instance__area,27830.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,26
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.004957220517098904
power__switching__total,0.0017787223914638162
power__leakage__total,3.375480872591652E-8
power__total,0.006735976319760084
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.29998834820902703
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.30598943689375574
timing__hold__ws__corner:nom_tt_025C_1v80,0.30164549489802545
timing__setup__ws__corner:nom_tt_025C_1v80,2.7073248853500407
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.301645
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,3.390019
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,42
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,26
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.33772793850785354
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.34688372600627565
timing__hold__ws__corner:nom_ss_100C_1v60,0.46466576346320315
timing__setup__ws__corner:nom_ss_100C_1v60,0.11729018088753229
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.829027
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,0.117290
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,26
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.28508432532688577
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.29019390489762686
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11055712214196667
timing__setup__ws__corner:nom_ff_n40C_1v95,3.166055729422654
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.110557
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,4.786674
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,42
design__max_fanout_violation__count,26
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.28296069066532226
clock__skew__worst_setup,0.28740957649542326
timing__hold__ws,0.1089486864895513
timing__setup__ws,0.04181011211143442
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108949
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,0.041810
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 245.885 256.605
design__core__bbox,5.52 10.88 240.12 244.8
design__io,45
design__die__area,63095.3
design__core__area,54877.6
design__instance__count__stdcell,3540
design__instance__area__stdcell,27830.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.507136
design__instance__utilization__stdcell,0.507136
design__instance__count__class:inverter,23
design__instance__count__class:sequential_cell,406
design__instance__count__class:multi_input_combinational_cell,1252
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,3920
design__instance__count__class:tap_cell,792
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,49501.8
design__violations,0
design__instance__count__class:timing_repair_buffer,405
design__instance__count__class:clock_buffer,59
design__instance__count__class:clock_inverter,43
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,560
antenna_diodes_count,4
route__net,2163
route__net__special,2
route__drc_errors__iter:1,831
route__wirelength__iter:1,61155
route__drc_errors__iter:2,294
route__wirelength__iter:2,60653
route__drc_errors__iter:3,297
route__wirelength__iter:3,60657
route__drc_errors__iter:4,0
route__wirelength__iter:4,60582
route__drc_errors,0
route__wirelength,60582
route__vias,16810
route__vias__singlecut,16810
route__vias__multicut,0
design__disconnected_pin__count,3
design__critical_disconnected_pin__count,0
route__wirelength__max,726.795
timing__unannotated_net__count__corner:nom_tt_025C_1v80,50
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,50
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,50
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,26
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2967122465041574
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.3020075663921714
timing__hold__ws__corner:min_tt_025C_1v80,0.29780101449962415
timing__setup__ws__corner:min_tt_025C_1v80,2.7330372072383433
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.297801
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
